"city","date","id","tmax","tmin","prcp","year","month","day","daily_Cd","daily_Ca","Cd_cumsum","prcp_cumsum","Ca_cumsum","diff_Ca_Cd","diff_Ca_Cd_cumsum","lat","long","alt","bloom_doy","is_bloom","doy"
"Zürich-Witikon",1979-03-31,"GME00127546",7.5,2.5,3.2,"1979",3,31,-2.5,0,-266.655222805477,395.5,37.8,-2.5,-159.355222805477,47.3591,8.590272,620,NA,0,90
"Edlibach",1978-04-06,"GME00129094",8,1.8,0,"1978",4,6,-3.1,0,-275.422946711419,374.7,45.85,-3.1,-95.2229467114192,47.179358,8.573208,750,NA,0,96
"Zürich-MeteoSchweiz",2015-04-17,"SZ000003700",13.2,7.4,33.6,"2015",4,17,-0.300000000000001,2.6,-276.190583941995,504.5,110.85,2.3,51.4594160580055,47.378142,8.565853,555,NA,0,107
"Herzogenbuchsee",1962-03-31,"SZ000001940",15.7,6.2,5.3,"1962",3,31,-0.899999999999999,3.85,-263.105439263336,360.7,28.55,2.95,-2.5554392633361,47.18465,7.702511,450,NA,0,90
"Orbe ",2007-04-30,"SZ000008440",22.7,10.3,9.8,"2007",4,30,0,8.5,-356.86906633703,505.1,325.3,8.5,254.73093366297,46.722633,6.536061,485,NA,0,120
"Orbe ",1986-04-23,"SZ000008440",8.3,0.6,3.1,"1986",4,23,-3.7,0.15,-338.603195681544,471.7,73.35,-3.55,-76.8531956815441,46.722633,6.536061,485,NA,0,113
"Hochdorf",1993-03-21,"GME00129634",15.5,2.2,0.7,"1993",3,21,-2.9,3.75,-284.720313784773,388.3,48.2,0.850000000000001,-179.220313784773,47.166514,8.28935,490,NA,0,80
"Sarnen",1965-03-22,"GME00124522",11.6,6.3,10.3,"1965",3,22,-0.85,1.8,-197.363664841223,401.3,25.5,0.95,-67.3136648412226,46.894217,8.252236,500,NA,0,81
"Zürich-MeteoSchweiz",2010-03-26,"SZ000003700",14.8,5.3,5.4,"2010",3,26,-1.35,3.4,-200.189616396292,397.6,52.05,2.05,-1.43961639629159,47.378142,8.565853,555,NA,0,85
"Murg",2006-03-29,"GME00102404",11.1,3.5,1.5,"2006",3,29,-2.25,1.55,-174.977953863837,302.8,28,-0.7,31.8220461361633,47.108222,9.217372,500,NA,0,88
"Unterseen",1958-04-28,"SZE00105086",15,3.9,2.3,"1958",4,28,-2.05,3.5,-411.635558530227,309.4,187.45,1.45,-49.435558530227,46.684958,7.854311,565,NA,0,118
"Muri, AG",2007-03-17,"GME00132346",8.7,1.4,0,"2007",3,17,-3.3,0.35,-293.141999677109,434.3,86.55,-2.95,102.358000322891,47.265317,8.332283,550,NA,0,76
"Zürich-MeteoSchweiz",1988-04-10,"SZ000003700",9,2.4,0,"1988",4,10,-2.8,0.5,-284.863773984047,488.1,34.4,-2.3,-122.263773984047,47.378142,8.565853,555,NA,0,101
"Locarno",1958-04-05,"SZ000009480",12.2,5.4,41.8,"1958",4,5,-1.3,2.1,-399.268256089585,778.6,145.9,0.799999999999999,44.1317439104147,46.169278,8.798214,200,NA,0,95
"Herzogenbuchsee",1997-04-30,"SZ000001940",12.6,8,5.9,"1997",4,30,0,2.3,-328.483729093806,442.6,249.35,2.3,77.3162709061936,47.18465,7.702511,450,NA,0,120
"Unterseen",2001-03-31,"SZE00105086",16.2,-0.1,0,"2001",3,31,-3.95030674846626,4.1,-379.994546968915,444.8,138.65,0.149693251533742,-61.6945469689151,46.684958,7.854311,565,NA,0,90
"Boudry",1966-04-19,"SZE00116090",15.6,8,22,"1966",4,19,0,3.8,-339.44286078438,677.2,120.5,3.8,-122.34286078438,46.949492,6.834386,450,NA,0,109
"Sarnen",1994-04-30,"GME00124522",25.2,11.1,0,"1994",4,30,0,10.15,-293.920895297648,591,184.85,10.15,22.529104702352,46.894217,8.252236,500,NA,0,120
"Rafz",2011-03-31,"GME00130618",15,3.2,2.7,"2011",3,31,-2.4,3.5,-297.980782700744,431.2,94.65,1.1,-68.5307827007438,47.620414,8.542733,515,NA,0,90
"Edlibach",1986-03-27,"GME00129094",12.7,-3.3,0,"1986",3,27,-2.6903125,2.35,-235.638644002553,349.2,18.35,-0.3403125,-98.8386440025526,47.179358,8.573208,750,NA,0,86
"Muri, AG",2007-03-29,"GME00132346",13.5,3.5,0,"2007",3,29,-2.25,2.75,-322.430391220509,490.3,98.55,0.5,85.0696087794911,47.265317,8.332283,550,NA,0,88
"Boudry",2008-04-04,"SZE00116090",11.2,0.8,0,"2008",4,4,-3.6,1.6,-327.416060093965,251.4,72.75,-2,-139.216060093965,46.949492,6.834386,450,NA,0,95
"Boudry",1985-04-17,"SZE00116090",13.9,5.2,0,"1985",4,17,-1.4,2.95,-298.240590943019,515.5,70.25,1.55,-115.190590943019,46.949492,6.834386,450,NA,0,107
"Liestal",2005-04-19,"GME00127786",13.4,7,1.6,"2005",4,19,-0.499999999999999,2.7,-263.147405249888,498,165.75,2.2,95.9525947501121,47.481403,7.730519,350,NA,0,109
"Jegenstorf II",2017-04-06,"FRM00007299",14.1,2.9,0,"2017",4,6,-2.55,3.05,-353.636056539448,239.9,269.65,0.5,96.8639434605524,47.049108,7.507072,525,NA,0,96
"Unterseen",1992-04-24,"SZE00105086",25.5,5.2,0,"1992",4,24,-1.4,8.75,-396.867069176136,256.4,203,7.35,-65.1170691761358,46.684958,7.854311,565,NA,0,115
"Villnachern",1960-04-06,"GME00120934",10.4,3.2,0,"1960",4,6,-2.4,1.2,-183.418993004282,714.5,3.35,-1.2,-135.168993004282,47.470556,8.154928,415,NA,0,97
"Locarno",2014-04-02,"SZ000009480",16.5,9,0,"2014",4,2,0,4.75,-264.109770998808,1114.8,162.3,4.75,181.540229001192,46.169278,8.798214,200,NA,0,92
"Orbe ",2002-04-30,"SZ000008440",22.4,3.9,0,"2002",4,30,-2.05,7.2,-312.892043830572,356.5,219.8,5.15,175.307956169428,46.722633,6.536061,485,NA,0,120
"Zürich-Witikon",1954-03-29,"GME00127546",13.6,1,0,"1954",3,29,-3.5,2.8,-275.681157779501,146.1,55.5,-0.7,-83.1811577795012,47.3591,8.590272,620,NA,0,88
"Locarno",2015-04-25,"SZ000009480",16.5,11.2,6.2,"2015",4,25,0,5.85,-260.609498134637,1081,262.1,5.85,371.840501865363,46.169278,8.798214,200,NA,0,115
"Murg",1980-04-03,"GME00102404",7.3,2.3,6.8,"1980",4,3,-2.5,0,-305.047735984096,427.3,46.3,-2.5,-111.147735984096,47.108222,9.217372,500,NA,0,94
"Laufenburg",1999-03-17,"GME00128542",13.2,-1,0,"1999",3,17,-3.53521126760563,2.6,-235.752583935546,791.3,35.75,-0.935211267605634,-85.0525839355465,47.561031,8.063136,330,NA,0,76
"Zürich-MeteoSchweiz",1994-04-02,"SZ000003700",8.1,0.3,4.6,"1994",4,2,-3.85,0.0499999999999998,-245.411586371405,503,100,-3.8,-49.7115863714048,47.378142,8.565853,555,NA,0,92
"Zürich-MeteoSchweiz",1958-03-17,"SZ000003700",5.4,-5.3,6.4,"1958",3,17,-1.36261682242991,0,-229.433131263228,422.2,39.8,-1.36261682242991,-61.9831312632283,47.378142,8.565853,555,NA,0,76
"Sarnen",2000-03-22,"GME00124522",17,2,0,"2000",3,22,-3,4.5,-271.606398629171,470.8,61,1.5,-60.8563986291713,46.894217,8.252236,500,NA,0,82
"Liestal",1963-04-22,"GME00127786",19.5,5.7,0,"1963",4,22,-1.15,5.75,-233.849699883326,317.1,111.3,4.6,31.2503001166737,47.481403,7.730519,350,NA,0,112
"Herzogenbuchsee",1992-04-06,"SZ000001940",10,2.5,0,"1992",4,6,-2.75,1,-312.004568358007,376.1,84.75,-1.75,-87.7045683580069,47.18465,7.702511,450,NA,0,97
"Merishausen",2017-04-17,"GME00122710",8.9,-0.7,6.2,"2017",4,17,-3.67552083333333,0.45,-375.835610058551,217,170.8,-3.22552083333333,-113.685610058551,47.763636,8.612414,540,NA,0,107
"Murg",1982-04-04,"GME00102404",17.8,2.7,0,"1982",4,4,-2.65,4.9,-278.298615107404,487.7,47.95,2.25,-91.6986151074042,47.108222,9.217372,500,NA,0,94
"Diessenhofen",2010-03-17,"GME00131362",12.3,-3.2,0,"2010",3,17,-2.73032258064516,2.15,-252.029318362176,286.9,15.8,-0.580322580645161,-106.379318362177,47.690281,8.744,410,NA,0,76
"Rafz",1994-04-29,"GME00130618",23,6.9,0,"1994",4,29,-0.549999999999999,7.5,-331.94434146818,686.1,167.35,6.95,-72.0943414681796,47.620414,8.542733,515,NA,0,119
"Locarno",1978-04-07,"SZ000009480",12.6,7,0,"1978",4,7,-0.500000000000001,2.3,-297.638680225553,886,90.45,1.8,60.5613197744465,46.169278,8.798214,200,NA,0,97
"Locarno",1984-04-05,"SZ000009480",4.6,3.4,28.8,"1984",4,5,-0.6,0,-343.109832106474,489.2,65.9,-0.6,-25.509832106474,46.169278,8.798214,200,NA,0,96
"Unterseen",2007-03-22,"SZE00105086",6.4,-2.8,0,"2007",3,22,-2.22608695652174,0,-375.225713123955,270,116.75,-2.22608695652174,17.8242868760451,46.684958,7.854311,565,NA,0,81
"Sarnen",1985-03-28,"GME00124522",5,-0.8,0,"1985",3,28,-2.1551724137931,0,-248.775189630569,356,31.8,-2.1551724137931,-30.7251896305685,46.894217,8.252236,500,NA,0,87
"Orbe ",2004-04-20,"SZ000008440",16.3,2.3,0,"2004",4,20,-2.85,4.15,-401.219198381337,503.6,142.8,1.3,-149.169198381337,46.722633,6.536061,485,NA,0,111
"Orbe ",1973-03-30,"SZ000008440",9.6,5.2,0,"1973",3,30,-1.4,0.8,-293.684121027279,329.8,40.1,-0.600000000000001,-123.284121027279,46.722633,6.536061,485,NA,0,89
"Jegenstorf II",2005-04-30,"FRM00007299",18,9.5,0,"2005",4,30,0,5.75,-306.443891445867,432.8,223.35,5.75,184.406108554133,47.049108,7.507072,525,NA,0,120
"Zürich-MeteoSchweiz",1998-03-19,"SZ000003700",8.8,2.3,1.1,"1998",3,19,-2.85,0.4,-275.158765576103,414,55.8,-2.45,-84.3587655761033,47.378142,8.565853,555,NA,0,78
"Laufenburg",1975-04-20,"GME00128542",15.4,10.2,9.6,"1975",4,20,0,4.8,-428.152493277981,891.3,81.5,4.8,-315.552493277981,47.561031,8.063136,330,NA,0,110
"Sarnen",1982-03-29,"GME00124522",10,7.1,11.6,"1982",3,29,-0.450000000000001,1,-253.939819376066,612.2,49.15,0.549999999999999,-40.5898193760664,46.894217,8.252236,500,NA,0,88
"Liestal",1960-03-31,"GME00127786",14.6,3.5,1.1,"1960",3,31,-2.25,3.3,-299.133776711173,395,93.3,1.05,-62.8337767111729,47.481403,7.730519,350,NA,0,91
"Unterseen",1973-04-26,"SZE00105086",16.8,6.5,0,"1973",4,26,-0.75,4.4,-404.496753378167,320.8,132.35,3.65,-95.8467533781665,46.684958,7.854311,565,NA,0,116
"Locarno",1963-04-16,"SZ000009480",15.4,6.6,0.8,"1963",4,16,-0.7,3.7,-319.231654783846,594.9,106.4,3,32.7183452161536,46.169278,8.798214,200,NA,0,106
"Unterseen",1957-03-21,"SZE00105086",20,7.2,0,"1957",3,21,-0.399999999999999,6,-343.462119459231,288.7,130.45,5.6,-80.4621194592306,46.684958,7.854311,565,NA,0,80
"Zürich-Witikon",1965-04-22,"GME00127546",6.5,3,1.9,"1965",4,22,-1.75,0,-265.655534370753,355.6,92.55,-1.75,-90.9055343707533,47.3591,8.590272,620,NA,0,112
"Liestal",1989-04-21,"GME00127786",9.5,4.7,5.9,"1989",4,21,-1.65,0.75,-320.585651690306,512.3,177,-0.899999999999999,51.6643483096938,47.481403,7.730519,350,NA,0,111
"Boudry",1991-03-21,"SZE00116090",16.9,6.8,22.5,"1991",3,21,-0.600000000000001,4.45,-199.563522516307,367.1,49.8,3.85,20.4364774836926,46.949492,6.834386,450,NA,0,80
"Orbe ",1966-03-16,"SZ000008440",9.4,-0.4,0,"1966",3,16,-3.80816326530612,0.7,-307.046479685626,617.4,57.5,-3.10816326530612,-126.196479685626,46.722633,6.536061,485,NA,0,75
"Hochdorf",2014-03-30,"GME00129634",20.3,-1.4,0,"2014",3,30,-3.34516129032258,6.15,-333.631440211686,341.5,85.4,2.80483870967742,-120.431440211686,47.166514,8.28935,490,NA,0,89
"Rafz",1985-03-16,"GME00130618",4.2,-3.5,3,"1985",3,16,-1.14545454545455,0,-247.034727409183,360.8,12.35,-1.14545454545455,-82.6347274091834,47.620414,8.542733,515,NA,0,75
"Orbe ",1991-04-27,"SZ000008440",13.9,3.3,4.1,"1991",4,27,-2.35,2.95,-302.535567293426,411.3,161.75,0.600000000000001,44.5144327065738,46.722633,6.536061,485,NA,0,117
"Boudry",2007-04-24,"SZE00116090",25.7,7.7,0,"2007",4,24,-0.15,8.85,-372.537598504767,371.3,229.2,8.7,79.662401495233,46.949492,6.834386,450,NA,0,114
"Herzogenbuchsee",2012-03-20,"SZ000001940",12.5,3.2,0,"2012",3,20,-2.4,2.25,-288.675890862373,257.3,76.2,-0.149999999999999,6.97410913762668,47.18465,7.702511,450,NA,0,80
"Zürich-Witikon",1964-04-01,"GME00127546",11.1,4.9,0,"1964",4,1,-1.55,1.55,-209.338520429037,284,17.8,0,-39.8385204290372,47.3591,8.590272,620,NA,0,92
"Orbe ",1976-03-19,"SZ000008440",14.5,3.6,0,"1976",3,19,-2.2,3.25,-282.384502889023,408.6,27.95,1.05,-161.434502889023,46.722633,6.536061,485,NA,0,79
"Laufenburg",1971-03-28,"GME00128542",9,-3.2,0,"1971",3,28,-2.81967213114754,0.5,-263.909485574998,383.2,16.55,-2.31967213114754,-107.259485574998,47.561031,8.063136,330,NA,0,87
"Chur",2010-03-25,"GME00131314",21.2,8.8,0,"2010",3,25,0,7,-236.567597680724,380.6,49.95,7,-44.7675976807238,46.868244,9.5419,640,NA,0,84
"Hochdorf",2009-04-21,"GME00129634",19.7,7.5,0.2,"2009",4,21,-0.25,5.85,-288.382857276223,394.8,111.6,5.6,-70.2328572762227,47.166514,8.28935,490,NA,0,111
"Liestal",1963-04-19,"GME00127786",17.6,5.1,0,"1963",4,19,-1.45,4.8,-231.499699883326,317.1,94.65,3.35,16.9503001166737,47.481403,7.730519,350,NA,0,109
"Unterseen",2009-03-19,"SZE00105086",16.9,0.3,0,"2009",3,19,-3.85,4.45,-267.717235000698,285.8,47.6,0.6,-36.6172350006985,46.684958,7.854311,565,NA,0,78
"Rafz",1987-03-22,"GME00130618",8,0.2,0,"1987",3,22,-3.9,0,-223.536075084245,487.5,8.1,-3.9,-47.1860750842448,47.620414,8.542733,515,NA,0,81
"Sarnen",1991-03-19,"GME00124522",11.5,6.8,15.6,"1991",3,19,-0.600000000000001,1.75,-170.475646567088,383.8,49,1.15,113.324353432912,46.894217,8.252236,500,NA,0,78
"Sarnen",1999-04-06,"GME00124522",21.5,8.5,24.6,"1999",4,6,0,7,-242.359027991258,471.9,86.75,7,19.7909720087423,46.894217,8.252236,500,NA,0,96
"Azmoos",1991-03-26,"GME00128830",8.6,4.5,7.5,"1991",3,26,-1.75,0.3,-209.626264254423,545.3,68.55,-1.45,42.1737357455771,47.076869,9.479753,480,NA,0,85
"Orbe ",2009-04-04,"SZ000008440",18.3,4.8,0,"2009",4,4,-1.6,5.15,-273.82157434373,421.4,72.85,3.55,-33.0715743437304,46.722633,6.536061,485,NA,0,94
"Boudry",1997-04-28,"SZE00116090",14.9,7.5,5.7,"1997",4,28,-0.249999999999999,3.45,-372.987858663006,271.6,205.6,3.2,-55.2878586630057,46.949492,6.834386,450,NA,0,118
"Locarno",1973-03-30,"SZ000009480",14.7,7.9,0,"1973",3,30,-0.0500000000000007,3.35,-326.274438879642,324.7,89.35,3.3,-44.7744388796422,46.169278,8.798214,200,NA,0,89
"Jegenstorf II",1994-03-25,"FRM00007299",21.6,10.1,0,"1994",3,25,0,7.85,-282.245863073372,299.2,126.05,7.85,41.3041369266281,47.049108,7.507072,525,NA,0,84
"Zürich-Witikon",1954-04-10,"GME00127546",7.5,2.1,0,"1954",4,10,-2.7,0,-298.389778469156,183.5,76.45,-2.7,-84.9397784691564,47.3591,8.590272,620,NA,0,100
"Muri, AG",2009-03-22,"GME00132346",9.9,-2.3,0,"2009",3,22,-3.06680327868852,0.95,-275.692797975853,492.5,30.05,-2.11680327868852,-94.0927979758534,47.265317,8.332283,550,NA,0,81
"Locarno",2011-04-21,"SZ000009480",21.6,10.6,0,"2011",4,21,0,8.1,-273.29809764319,720.4,284.8,8.1,213.60190235681,46.169278,8.798214,200,NA,0,111
"Liestal",1996-04-17,"GME00127786",18.8,5.2,0,"1996",4,17,-1.4,5.4,-268.719721142842,339.9,104.9,4,103.380278857158,47.481403,7.730519,350,NA,0,108
"Rafz",1967-04-05,"GME00130618",14,4,0.6,"1967",4,5,-2,3,-315.526959897157,528.9,77.95,1,-43.8769598971573,47.620414,8.542733,515,NA,0,95
"Boudry",2003-03-21,"SZE00116090",13.2,-2.1,0,"2003",3,21,-3.09411764705882,2.6,-257.729827586943,431.6,51.35,-0.494117647058824,-67.179827586943,46.949492,6.834386,450,NA,0,80
"Rafz",1964-04-21,"GME00130618",15.8,5.5,2.4,"1964",4,21,-1.25,3.9,-309.208132388744,362.5,113.95,2.65,-46.3081323887444,47.620414,8.542733,515,NA,0,112
"Hochdorf",1991-04-16,"GME00129634",17.2,0.6,0,"1991",4,16,-3.7,4.6,-284.787009422238,366.8,93.65,0.899999999999999,-60.8870094222376,47.166514,8.28935,490,NA,0,106
"Zürich-Witikon",1957-03-26,"GME00127546",18.6,2,0,"1957",3,26,-3,5.3,-269.391731815566,295.7,92.25,2.3,-91.1417318155664,47.3591,8.590272,620,NA,0,85
"Locarno",1973-03-28,"SZ000009480",17.6,8.7,0,"1973",3,28,0,5.15,-326.174438879642,322.6,82.15,5.15,-51.8744388796422,46.169278,8.798214,200,NA,0,87
"Laufenburg",1972-03-16,"GME00128542",17,-0.7,0,"1972",3,16,-3.66384180790961,4.5,-304.814591185693,270.1,29.75,0.836158192090394,-113.364591185693,47.561031,8.063136,330,NA,0,76
"Villnachern",1957-04-22,"GME00120934",7.2,0,0,"1957",4,22,-3.6,0,-175.006906185442,883.4,1.75,-3.6,-142.556906185442,47.470556,8.154928,415,NA,0,112
"Villnachern",1991-03-23,"GME00120934",1,-1.5,0.9,"1991",3,23,-0.2,0,-155.404738832702,656.2,0.85,-0.2,-82.7047388327023,47.470556,8.154928,415,NA,0,82
"Unterseen",1989-04-10,"SZE00105086",19.1,9.4,0,"1989",4,10,0,6.25,-356.142421219593,323.5,186.6,6.25,5.60757878040733,46.684958,7.854311,565,NA,0,100
"Muri, AG",1992-03-21,"GME00132346",14.4,4.6,4.1,"1992",3,21,-1.7,3.2,-282.713711669244,551.5,61.05,1.5,-101.213711669244,47.265317,8.332283,550,NA,0,81
"Birmensdorf",1984-03-23,"GME00129514",10.1,-5.3,0,"1984",3,23,-2.26201298701299,1.05,-205.83026425389,321.3,4.65,-1.21201298701299,-75.1802642538899,47.342472,8.444342,500,NA,0,83
"Laufenburg",1964-03-27,"GME00128542",6.7,3.4,2.1,"1964",3,27,-1.65,0,-241.543132181712,434.1,42.5,-1.65,-13.7931321817116,47.561031,8.063136,330,NA,0,87
"Zürich-MeteoSchweiz",2003-04-16,"SZ000003700",20.7,6.8,0,"2003",4,16,-0.600000000000001,6.35,-258.09038729941,546.1,118.3,5.75,0.659612700590225,47.378142,8.565853,555,NA,0,106
"Herzogenbuchsee",1965-04-22,"SZ000001940",8.3,4.2,1.3,"1965",4,22,-1.9,0.15,-294.027135005547,330.9,139.85,-1.75,-21.3271350055467,47.18465,7.702511,450,NA,0,112
"Zürich-MeteoSchweiz",1952-03-30,"SZ000003700",13.3,5.1,4.2,"1952",3,30,-1.45,2.65,-285.930928989457,463.4,36.9,1.2,-133.380928989457,47.378142,8.565853,555,NA,0,90
"Laufenburg",1963-03-27,"GME00128542",9.2,4.2,6,"1963",3,27,-1.9,0.6,-229.597477780051,441.4,34.45,-1.3,-37.2974777800506,47.561031,8.063136,330,NA,0,86
"Liestal",2018-04-20,"GME00127786",28.2,7,0,"2018",4,20,-0.500000000000002,10.1,-344.759871513121,522.4,204.5,9.6,65.5901284868793,47.481403,7.730519,350,NA,0,110
"Jegenstorf II",2017-04-21,"FRM00007299",6.3,-3.2,0,"2017",4,21,-2.08894736842105,0,-385.168465490702,247.6,325.15,-2.08894736842105,120.831534509298,47.049108,7.507072,525,NA,0,111
"Rafz",1970-04-12,"GME00130618",7.2,-1,14.1,"1970",4,12,-3.1609756097561,0,-255.969331276953,723.4,17.5,-3.1609756097561,-77.9193312769526,47.620414,8.542733,515,NA,0,102
"Locarno",1983-04-23,"SZ000009480",15.6,10.1,1.8,"1983",4,23,0,4.85,-325.169120564926,857.1,162.55,4.85,24.1808794350744,46.169278,8.798214,200,NA,0,113
"Sarnen",1985-04-15,"GME00124522",9.8,3.5,1.2,"1985",4,15,-2.25,0.9,-265.675710463902,419.4,98.2,-1.35,18.7742895360981,46.894217,8.252236,500,NA,0,105
"Unterseen",1981-04-05,"SZE00105086",18.9,5.8,0,"1981",4,5,-1.1,5.45,-305.747150406679,355,126.45,4.35,-62.0971504066787,46.684958,7.854311,565,NA,0,95
"Unterseen",2000-04-16,"SZE00105086",18.5,3.2,0,"2000",4,16,-2.4,5.25,-343.06777121154,280.7,173.25,2.85,-1.66777121154027,46.684958,7.854311,565,NA,0,107
"Hochdorf",2002-03-18,"GME00129634",15.4,0.8,17.4,"2002",3,18,-3.6,3.7,-232.881660469081,425.6,45.2,0.100000000000001,-0.231660469081186,47.166514,8.28935,490,NA,0,77
"Orbe ",2008-03-25,"SZ000008440",4.9,0.7,0,"2008",3,25,-2.1,0,-317.92286865128,347.2,74.4,-2.1,-87.5728686512805,46.722633,6.536061,485,NA,0,85
"Zürich-MeteoSchweiz",1995-04-05,"SZ000003700",20.7,8.7,0,"1995",4,5,0,6.7,-283.333574977047,616.3,70.95,6.7,-60.383574977047,47.378142,8.565853,555,NA,0,95
"Herzogenbuchsee",2006-04-20,"SZ000001940",19.7,6,0,"2006",4,20,-1,5.85,-222.446736400568,415.3,99.7,4.85,88.0032635994315,47.18465,7.702511,450,NA,0,110
"Liestal",1983-03-27,"GME00127786",7.5,-0.3,1.3,"1983",3,27,-3.60576923076923,0,-254.159417625933,657.2,61.6,-3.60576923076923,-10.5094176259326,47.481403,7.730519,350,NA,0,86
"Zürich-Witikon",1995-03-29,"GME00127546",4,-0.4,2,"1995",3,29,-1.81818181818182,0,-309.658037794828,463.9,52.85,-1.81818181818182,-104.308037794828,47.3591,8.590272,620,NA,0,88
"Azmoos",1995-04-26,"GME00128830",8.3,5.5,12,"1995",4,26,-1.25,0.15,-343.735951728619,833.9,120.05,-1.1,-77.3859517286189,47.076869,9.479753,480,NA,0,116
"Herzogenbuchsee",1965-04-27,"SZ000001940",10.5,3.2,4,"1965",4,27,-2.4,1.25,-301.627135005547,358.3,150.05,-1.15,-18.7271350055467,47.18465,7.702511,450,NA,0,117
"Edlibach",1987-03-23,"GME00129094",9.1,-4.3,1.9,"1987",3,23,-2.53992537313433,0.55,-223.949469639873,279.6,9.4,-1.98992537313433,-81.1494696398728,47.179358,8.573208,750,NA,0,82
"Laufenburg",1985-04-18,"GME00128542",15.5,3,0,"1985",4,18,-2.5,3.75,-326.048971525605,525.6,85.3,1.25,-93.6989715256054,47.561031,8.063136,330,NA,0,108
"Muri, AG",2010-03-30,"GME00132346",14.8,5.3,0.7,"2010",3,30,-1.35,3.4,-244.862861965572,486.2,72.85,2.05,42.5371380344275,47.265317,8.332283,550,NA,0,89
"Zürich-MeteoSchweiz",2017-03-30,"SZ000003700",20.3,6.9,0,"2017",3,30,-0.550000000000001,6.15,-269.132917962056,329,108.75,5.6,-41.0829179620565,47.378142,8.565853,555,NA,0,89
"Liestal",2000-03-22,"GME00127786",19.5,2,0,"2000",3,22,-3,5.75,-269.833650485539,477.6,96,2.75,-1.83365048553929,47.481403,7.730519,350,NA,0,82
"Hochdorf",1976-03-25,"GME00129634",5,-2,0.3,"1976",3,25,-1.78571428571429,0,-260.073826853246,267.1,21.4,-1.78571428571429,-167.773826853246,47.166514,8.28935,490,NA,0,85
"Liestal",1977-04-30,"GME00127786",9.8,4.5,10.6,"1977",4,30,-1.75,0.9,-290.899810100658,732,187.45,-0.85,71.5501898993417,47.481403,7.730519,350,NA,0,120
"Zürich-MeteoSchweiz",2008-03-25,"SZ000003700",3,-2.3,6.9,"2008",3,25,-0.849056603773585,0,-273.777875949673,353.4,46.9,-0.849056603773585,-109.827875949673,47.378142,8.565853,555,NA,0,85
"Zürich-Witikon",1954-04-06,"GME00127546",7.6,0.5,3,"1954",4,6,-3.55,0,-290.389778469156,183.1,75.9,-3.55,-77.4897784691564,47.3591,8.590272,620,NA,0,96
"Rafz",1984-04-01,"GME00130618",7.6,4,27.6,"1984",4,1,-1.8,0,-285.693503198928,557.2,31.3,-1.8,-114.093503198928,47.620414,8.542733,515,NA,0,92
"Muri, AG",2012-04-28,"GME00132346",29.5,10.1,0,"2012",4,28,0,11.8,-394.952053912968,588.1,183.4,11.8,-24.4520539129679,47.265317,8.332283,550,NA,0,119
"Unterseen",1974-04-14,"SZE00105086",17.6,6.8,0,"1974",4,14,-0.600000000000001,4.8,-371.841232749532,271.4,223.55,4.2,16.1087672504677,46.684958,7.854311,565,NA,0,104
"Hochdorf",2001-04-19,"GME00129634",5.5,-1.3,0,"2001",4,19,-2.22426470588235,0,-352.431697968132,557.8,60.75,-2.22426470588235,-185.831697968132,47.166514,8.28935,490,NA,0,109
"Muri, AG",2015-04-08,"GME00132346",15.7,-0.2,0,"2015",4,8,-3.90125786163522,3.85,-312.115891399816,503.1,74.15,-0.0512578616352206,35.1841086001844,47.265317,8.332283,550,NA,0,98
"Herzogenbuchsee",1972-03-27,"SZ000001940",10.6,4.5,1.7,"1972",3,27,-1.75,1.3,-314.703738398496,193.3,89.95,-0.45,-46.4537383984959,47.18465,7.702511,450,NA,0,87
"Zürich-Witikon",1954-03-31,"GME00127546",12.5,6.8,1.6,"1954",3,31,-0.600000000000001,2.25,-280.039778469156,148,60.75,1.65,-82.2897784691564,47.3591,8.590272,620,NA,0,90
"Herzogenbuchsee",2011-03-16,"SZ000001940",10.6,5.5,4.2,"2011",3,16,-1.25,1.3,-239.318208169032,300.9,49.95,0.0499999999999989,-3.5682081690323,47.18465,7.702511,450,NA,0,75
"Chur",2010-03-30,"GME00131314",19.4,5.8,0.1,"2010",3,30,-1.1,5.7,-243.117597680724,389.4,69.3,4.6,-31.9675976807238,46.868244,9.5419,640,NA,0,89
"Hochdorf",2010-04-27,"GME00129634",19.3,6.4,0,"2010",4,27,-0.800000000000001,5.65,-349.788068012355,407.5,123.9,4.85,-110.388068012355,47.166514,8.28935,490,NA,0,117
"Herzogenbuchsee",2011-04-18,"SZ000001940",20.7,3.5,0,"2011",4,18,-2.25,6.35,-292.464212280288,362.4,203.4,4.1,96.7357877197117,47.18465,7.702511,450,NA,0,108
"Locarno",1982-04-19,"SZ000009480",13.9,8.5,0,"1982",4,19,0,3.2,-357.936030410011,421,156.85,3.2,14.5139695899885,46.169278,8.798214,200,NA,0,109
"Hochdorf",2003-04-14,"GME00129634",18.2,0.2,0,"2003",4,14,-3.9,5.1,-315.522417413651,522.3,89.1,1.2,-137.072417413651,47.166514,8.28935,490,NA,0,104
"Sarnen",1953-04-16,"GME00124522",7,2.6,0,"1953",4,16,-2.2,0,-249.60014891471,458.1,147.1,-2.2,-6.70014891470982,46.894217,8.252236,500,NA,0,106
"Hochdorf",1986-04-25,"GME00129634",15.3,4.7,0.1,"1986",4,25,-1.65,3.65,-281.750617309524,545.8,33.85,2,-123.600617309524,47.166514,8.28935,490,NA,0,115
